title,link,publication_date
A Hello Kitty x Nike Air Presto Retro Is in the Works - Complex,https://www.complex.com/sneakers/hello-kitty-nike-air-presto-retro-release-date,2021-08-18
"Take an Official Look at the NBA x Nike SB Nyjah Free 2 ""Lakers"" - HYPEBEAST",https://hypebeast.com/2021/8/nba-nike-sb-nyjah-free-2-lakers-official-look-release-info-da3439-100,2021-08-19
Nike Dunk Low Bordeaux DD1503-108 Release Date | HYPEBEAST - HYPEBEAST,https://hypebeast.com/2021/8/nike-dunk-low-bordeaux-dd1503-108-release-date,2021-08-18
Nike cracking down on people customizing its sneakers. But is it shooting itself in the foot? - CBS News,https://www.cbsnews.com/news/nike-shoes-sneakers-customizers-air-force-one-lawsuit/,2021-08-13
The best Nike shoes for kids - Chicago Tribune,https://www.chicagotribune.com/consumer-reviews/sns-bestreviews-fashion-kids-best-nike-shoes-20210818-5yxjpozrk5eflejdfze3rjkvbm-story.html,2021-08-18
"Nike wasn't 'giving me really what I needed,' U.S. Olympian says about jumping to LuluLemon - Yahoo Finance",https://finance.yahoo.com/news/nike-olympian-defecting-lululemon-131241235.html,2021-08-18
Nike Renames the Alberto Salazar Building After Lifetime Ban - The New York Times,https://www.nytimes.com/2021/08/17/sports/nike-alberto-salazar-building.html,2021-08-17
Nike SB’s Orange Label To Launch The Dunk Low “Unbleached Pack” In September - Sneaker News,https://sneakernews.com/2021/08/18/nike-sb-dunk-low-orange-label-unbleached-pack-purple-da9658-500/,2021-08-19
Nike Dunk High Toasty DN9909-100 Release Date - SBD - Sneaker Bar Detroit,https://sneakerbardetroit.com/nike-dunk-high-toasty-summit-white-black-oil-green-rattan-dn9909-100-release-date/,2021-08-19
"Nike OverBreak SP Appears In Orca-Like ""Black/White"" - HYPEBEAST",https://hypebeast.com/2021/8/nike-overbreak-sp-black-white-orca-colorway-release-information,2021-08-18
Nike Tells Employees via Internal Memo That It's Renamed the Alberto Salazar Building - Willamette Week,https://www.wweek.com/news/city/2021/08/16/nike-tells-employees-via-internal-memo-that-its-renamed-the-alberto-salazar-building/,2021-08-17
Nike Air Zoom Pegasus 38 Review | Best Running Shoes 2021 - Runner's World,https://www.runnersworld.com/gear/a37282601/nike-air-zoom-pegasus-38-review/,2021-08-16
The Nike ISPA Flow Returns With Teal Tinted Soles - Sneaker News,https://sneakernews.com/2021/08/18/nike-ispa-flow-dm2832-001-release-info/,2021-08-18
Social Status x Nike Dunk Mid Collection Release Date | HYPEBEAST - HYPEBEAST,https://hypebeast.com/2021/8/social-status-nike-dunk-mid-chocolate-strawberry-milk-release-date,2021-08-17
Nike goes back to Y2K with the revival of its iconic Hello Kitty sneaker - Input,https://www.inputmag.com/style/nike-air-presto-hello-kitty-2021-rerelease-2004-release-date,2021-08-18
"Allbirds to Sell Wool and Tree-Based Workout Clothes, Taking on Nike and Lululemon - The Wall Street Journal",https://www.wsj.com/articles/allbirds-to-sell-wool-and-tree-based-workout-clothes-taking-on-nike-and-lululemon-11629192602,2021-08-17
Off-White Nike Blazer Low White Yellow Red Release Info - HYPEBEAST,https://hypebeast.com/2021/8/off-white-nike-blazer-low-white-release-info,2021-08-17
The Nike KD 14 Arrives In A Series Of Team-Based Colorways - Sneaker News,https://sneakernews.com/2021/08/17/nike-kd-14-team-based-da7850-001-da7850-600/,2021-08-17
This Nike Air More Uptempo Alternates Navy And Red AIR - Sneaker News,https://sneakernews.com/2021/08/17/nike-air-more-uptempo-black-navy-red-dm0017-001/,2021-08-17
"Select sale styles are an additional 20% off at Nike, but only for a few more hours - Yahoo Sports",https://sports.yahoo.com/select-sale-styles-additional-20-154555770.html,2021-08-17
The Nike Air Max BW “Lyon” Shares The French City’s Love Of This 1991 Trainer - Sneaker News,https://sneakernews.com/2021/08/17/nike-air-max-bw-lyon-city-pack-dm6445-001/,2021-08-17
"18 Best Cargo Pants for Men in 2021: Todd Snyder, Nike, Gucci, and More - GQ",https://www.gq.com/story/best-cargo-pants-for-men,2021-08-18
"Nike Waffle One Crater ""Lime Ice"" Release Info - HYPEBEAST",https://hypebeast.com/2021/8/nike-waffle-one-crater-lime-ice-dc2650-300-release-info,2021-08-17
Nike VaporFly NEXT% 2 White Dynamic Turquoise CU4111-101 | HYPEBEAST - HYPEBEAST,https://hypebeast.com/2021/8/nike-zoomx-vaporfly-next-2-white-dynamic-turquoise-cu4111-101-release-info,2021-08-17
Nike and Adidas Should Be Watching Their Backs in China - The Wall Street Journal,https://www.wsj.com/articles/nike-and-adidas-should-be-watching-their-backs-in-china-11629193762,2021-08-17
Nike Reveals Three sacai LDWaffle Collaboration - HYPEBEAST,https://hypebeast.com/2021/8/nike-sacai-ldwaffle-collaboration-fragment-clot-undercover-release-info,2021-08-16
Nike's Jordan Brand is looking for a Global Retail Designer to help create the future of retail design - Archinect,https://archinect.com/news/article/150278170/nike-s-jordan-brand-is-looking-for-a-global-retail-designer-to-help-create-the-future-of-retail-design,2021-08-18
Nike Inc. Cl B stock outperforms competitors despite losses on the day - MarketWatch,https://www.marketwatch.com/story/nike-inc-cl-b-stock-outperforms-competitors-despite-losses-on-the-day-01629321086-2f4f1492c1a8,2021-08-18
LeBron James Previews Nike LeBron 19 in Black - HYPEBEAST,https://hypebeast.com/2021/8/lebron-james-nike-lebron-19-black-preview-release-info,2021-08-18
Nike Air VaporMax 2021 Black White Anthracite DC9394-001 Release Date - SBD - Sneaker Bar Detroit,https://sneakerbardetroit.com/nike-air-vapormax-2021-black-white-anthracite-dc9394-001-release-date/,2021-08-18
You can get up to 50% off top-rated shoes during the Nike Best in Class sale - USA TODAY,https://www.usatoday.com/story/money/reviewed/2021/07/25/nike-sale-shop-shoes-clothes-and-more-nike-best-class-sale/8081720002/,2021-07-25
Supreme Confirms The Nike Air Force 1 Low “Flax” And More For FW21 Collection - Sneaker News,https://sneakernews.com/2021/08/16/supreme-nike-air-force-1-low-fw21-release-date/,2021-08-16
Exclusive: Nike store set for downtown Nashville's Fifth + Broadway development - Nashville Business Journal - Nashville Business Journal,https://www.bizjournals.com/nashville/news/2021/08/17/nike-downtown-fifth-broadway-retail-store-apparel.html,2021-08-17
Nike's SNKRS app broke the internet again with the Travis Scott Jordan 1 Low release - For The Win,https://ftw.usatoday.com/lists/nike-snkrs-app-travis-scott-jordan-1,2021-08-13
"Nike’s new immersive ‘Rise’ store is a wild, high-tech shopping experience - Input",https://www.inputmag.com/style/nike-rise-seoul-concept-store-technology-recycling-apparel-move-to-zero-sustainability,2021-08-10
Nike to Open at Fifth + Broadway - Williamson Source,https://williamsonsource.com/nike-to-open-fifth-broadway/,2021-08-18
"Runners wearing Nike 'super shoes' dominated in the Olympics, taking more than 60% of podium spots - Business Insider",https://www.businessinsider.com/nike-runners-trounce-olympics-competitors-super-spike-shoe-technology-2021-8,2021-08-11
Reebok was meant to be a 'Nike killer.' How the brand lost its No. 1 spot - Retail Dive,https://www.retaildive.com/news/reebok-was-meant-to-be-a-nike-killer-how-the-brand-lost-its-no-1-spot-adidas-sale-of-reebok/603733/,2021-07-26
'These are trash!' Is Kyrie Irving's rant about his Nike shoes the next step of athlete empowerment? - Fast Company,https://www.fastcompany.com/90660351/these-are-trash-is-kyrie-irvings-rant-about-his-nike-shoes-the-next-step-of-athlete-empowerment,2021-07-30
"Nike OG Air Huarache ""Aquatone"" Release Info - HYPEBEAST",https://hypebeast.com/2021/8/nike-air-huarache-aquatone-dd1068-103-release-date,2021-08-16
Nike Air Huarache WMNS DD1068-105 Release Date - SBD - Sneaker Bar Detroit,https://sneakerbardetroit.com/nike-air-huarache-dd1068-105-release-date/,2021-08-18
Nike Expands Tech-Centered Rise Concept Store to Seoul - Sourcing Journal,https://sourcingjournal.com/footwear/footwear-brands/nike-seoul-rise-store-opening-circularity-technology-olympics-morning-consult-295873/,2021-08-16
"Adama Traore with custom-made Nike, assist king Paul Pogba with adidas, Yves Bissouma in both – boots worn... - talkSPORT.com",https://talksport.com/football/928636/paul-pogba-adidas-football-boots-nike-premier-league/,2021-08-18
Nike is Suing a Former Employee and His Company Over Allegedly Infringing Customized Footwear - The Fashion Law,https://www.thefashionlaw.com/nike-is-suing-former-employee-and-his-company-over-allegedly-infringing-customized-footwear/,2021-07-23
Nike Suing Former Employee Sneaker Customizer - HYPEBEAST,https://hypebeast.com/2021/7/nike-former-employee-sneaker-customizer-kickrich-lawsuit-info,2021-07-25
Nike trainer output at key factory hit by Covid outbreak - BBC News,https://www.bbc.com/news/business-57902093,2021-07-20
Kyrie Irving calls new Nike shoes 'trash' - AdAge.com,https://adage.com/article/marketing-news-strategy/kyrie-irving-calls-out-nike-new-shoes/2353746,2021-07-28
Nike SNKRS Day 2021 Release/Restock Info | HYPEBEAST - HYPEBEAST,https://hypebeast.com/2021/8/nike-snkrs-day-2021-release-restock-info,2021-08-06
"Nike GO FlyEase Colorway ""Red/Black"" Release | HYPEBEAST - HYPEBEAST",https://hypebeast.com/2021/7/nike-go-flyease-release-info-cw5883-600,2021-07-29
"Nordstrom to Provide 25,000 Pairs of Brand-New Nike Sneakers to Kids in Need - PRNewswire",https://www.prnewswire.com/news-releases/nordstrom-to-provide-25-000-pairs-of-brand-new-nike-sneakers-to-kids-in-need-301355115.html,2021-08-16
Nike could run out of sneakers made in Vietnam following COVID spike: S&P Global - Yahoo Finance,https://finance.yahoo.com/news/nike-could-run-out-of-sneakers-made-in-vietnam-as-the-covid-cases-spike-there-191540146.html,2021-07-19
"Nike, Adidas Output Snarled as Covid Shuts Asian Factories - Bloomberg",https://www.bloomberg.com/news/articles/2021-07-23/nike-adidas-output-snarled-as-covid-wave-shuts-asian-factories,2021-07-23
Beethovenfest's director Nike Wagner takes stock - DW (English),https://www.dw.com/en/beethovenfests-director-nike-wagner-takes-stock/a-58897121,2021-08-18
You can get Nike shoes at a great discount right now during the Nordstrom Anniversary Sale 2021 - USA TODAY,https://www.usatoday.com/story/tech/reviewedcom/2021/07/30/nordstrom-anniversary-sale-2021-save-big-nike-shoes/5428171001/,2021-07-30
"A new 24,000 square foot Nike flagship store is coming to Toronto | News - Daily Hive",https://dailyhive.com/toronto/nike-flagship-yorkdale,2021-08-17
Former Nike manager sentenced to prison in “pop-up store” scam - OPB News,https://www.opb.org/article/2021/08/03/errol-amorin-andam-nike-employee-sentenced-prison-pop-up-store-scam/,2021-08-03
"The Off-White x Nike Blazer Low ""White"" Is Virgil Abloh's Wildest Sneaker Yet - The Sole Supplier",https://thesolesupplier.co.uk/news/the-off-white-x-nike-blazer-low-white-is-virgil-ablohs-wildest-sneaker-yet/,2021-08-18
Nike Now Suing Sneaker Customizer for Trademark Infringement - HYPEBEAST,https://hypebeast.com/2021/7/nike-sneaker-customizer-drip-creationz-trademark-infringement-lawsuit-info,2021-07-23
Allyson Felix was 'terrified' to speak out about Nike: TODAY - TODAY,https://www.today.com/parents/allyson-felix-was-terrified-speak-out-about-nike-today-t225859,2021-08-06
The Nike Air Max 2021 Appears In Black And Green - Sneaker News,https://sneakernews.com/2021/08/13/nike-air-max-2021-black-green-da3199-004/,2021-08-13
"In New Lawsuit, Nike Says it Cannot Allow ""Customizers"" to Build Businesses Off of its Famous Trademarks - The Fashion Law",https://www.thefashionlaw.com/in-new-suit-nike-says-it-cannot-allow-customizers-to-build-businesses-off-of-its-famous-trademarks/,2021-07-21
"Nike is having a massive sale on shoes, apparel and more — get up to 50% off - Yahoo News",https://news.yahoo.com/shop-nike-member-early-access-185056485.html,2021-07-26
Why should FedEx and Nike pay less than you to foot a $3.5 trillion federal budget? | Editorial - Chicago Sun-Times,https://chicago.suntimes.com/2021/8/12/22619875/real-corporate-profits-tax-sen-elizabeth-warren-angus-king-3-5-trillion-federal-budget-editorial,2021-08-12
Ad of the Day: Nike brands staff as experts and champions to drive store visits - The Drum,https://www.thedrum.com/news/2021/08/12/ad-the-day-nike-brands-staff-experts-and-champions-drive-store-visits,2021-08-12
"Allyson Felix Wins 400-Meter Bronze in Her Own Shoes, Not Nike (NKE) - Bloomberg",https://www.bloomberg.com/news/articles/2021-08-06/track-star-allyson-felix-wins-olympic-medal-in-her-own-shoe-line,2021-08-06
Nike's new UNITE store and campaign celebrate stories of underrepresented young communities - Retail Times,https://www.retailtimes.co.uk/nikes-new-unite-store-and-campaign-celebrate-stories-of-underrepresented-young-communities/,2021-08-18
"Athletes wearing 'super spikes' are dominating Olympic track and field, and Nike's shoes lead the way - Business Insider",https://www.businessinsider.com/super-spikes-running-shoes-nike-olympics-track-21-8,2021-08-06
Nike (NKE) Outpaces Stock Market Gains: What You Should Know - Nasdaq,https://www.nasdaq.com/articles/nike-nke-outpaces-stock-market-gains%3A-what-you-should-know-2021-08-16,2021-08-16
Nike Says Sneaker Customizer Is Infringing On Its Trademark - Complex,https://www.complex.com/sneakers/nike-lawsuit-drip-creationz-custom-sneakers,2021-07-21
Nike (NYSE: NKE) sells building for $103 million a year after scrapping factory plans - Phoenix Business Journal - Phoenix Business Journal,https://www.bizjournals.com/phoenix/news/2021/08/06/nike-sells-goodyear-building.html,2021-08-06
"Worldwide Licensed Sports Merchandise Industry to 2026 - Featuring Nike, Prada and Puma Among Others - ResearchAndMarkets.com - Business Wire",https://www.businesswire.com/news/home/20210817005594/en/Worldwide-Licensed-Sports-Merchandise-Industry-to-2026---Featuring-Nike-Prada-and-Puma-Among-Others---ResearchAndMarkets.com,2021-08-17
Nike’s Earnings Calls Provide A Winning Digital Transformation Playbook - Forbes,https://www.forbes.com/sites/noahbarsky/2021/07/27/nike-earnings-calls-provide-winning-digital-transformation-playbook/,2021-07-27
Nike CEO pressed on not addressing Chinese human rights abuses: 'China is a very important market for us' - Fox News,https://www.foxnews.com/media/nike-ceo-chinese-abuses-market,2021-08-06
"VIDEO ESSAY: THE STORY BEHIND NIKE'S ""WHAT IF"" CAMPAIGN - jenkemmag.com",https://www.jenkemmag.com/home/2021/08/17/video-essay-story-behind-nikes-campaign/,2021-08-17
How Black Employees at Nike and Intel Find Community in Portland Through Monthly Gatherings - Footwear News,https://footwearnews.com/2021/business/profiles/black-community-portland-growing-nike-intel-meeting-1203167535/,2021-08-16
Why You Should Care About NIKE's (NYSE:NKE) Strong Returns On Capital - Simply Wall St,https://simplywall.st/stocks/us/consumer-durables/nyse-nke/nike/news/why-you-should-care-about-nikes-nysenke-strong-returns-on-ca,2021-08-15
Nike Inc. Cl B stock outperforms competitors on strong trading day - MarketWatch,https://www.marketwatch.com/story/nike-inc-cl-b-stock-outperforms-competitors-on-strong-trading-day-01629148265-3d61e78ebd7e,2021-08-16
"18 Best Sneaker Brands in 2021: Nike, Adidas, New Balance, and More - GQ",https://www.gq.com/story/best-sneaker-brands,2021-07-29
"Yeti, like Nike, experienced a shutdown in a Vietnam manufacturing facility due to COVID - MarketWatch",https://www.marketwatch.com/story/yeti-like-nike-experienced-a-shutdown-in-a-vietnam-manufacturing-facility-due-to-covid-11628525010,2021-08-09
A Ma Maniere raises the bar for Air Jordan 1 collabs - Straatosphere,https://straatosphere.com/a-ma-maniere-air-jordan-1-leaks-nike/,2021-08-19
Best cheap sunglasses 2021: Nike to Ray-Ban - British GQ,https://www.gq-magazine.co.uk/fashion/gallery/best-cheap-sunglasses,2021-08-18
Drake's Latest Nike Collaboration Proves Celebrities Can't Get Enough Of This Sport - DMARGE,https://www.dmarge.com/2021/08/drake-nike-nocta-golf-collaboration-celebrity-golf-brands.html,2021-08-17
Projected No. 1 NBA draft pick Cade Cunningham signs multiyear endorsement deal with Nike - ESPN,https://www.espn.com/nba/story/_/id/31897084/projected-overall-nba-draft-pick-cade-cunningham-signs-multi-year-endorsement-deal-nike,2021-07-27
Why Nike's Stock Looks Ready For A Blue Sky Run - Benzinga - Benzinga,https://www.benzinga.com/trading-ideas/long-ideas/21/08/22470598/why-nikes-stock-looks-ready-for-a-blue-sky-run,2021-08-12
Ex-Nike exec Melanie Strong is taking on venture investing as partner at Next Ventures - Portland - Portland Business Journal,https://www.bizjournals.com/portland/news/2021/08/17/meet-melanie-strong-of-next-ventures.html,2021-08-17
"Furia splits with Nike, will now develop and produce its own apparel collection - Gamereactor UK",https://www.gamereactor.eu/furia-splits-with-nike-will-now-develop-and-produce-its-own-apparel-collection/,2021-08-18
"Chinese Suppliers to Apple, Nike Shun Xinjiang Workers as U.S. Forced-Labor Ban Looms - The Wall Street Journal",https://www.wsj.com/articles/chinese-suppliers-to-apple-nike-shun-xinjiang-workers-as-u-s-forced-labor-ban-looms-11626795627,2021-07-20
Team USA Basketball Trolls adidas Athlete Damian Lillard Forced to Wear Nike - HYPEBEAST,https://hypebeast.com/2021/8/team-usa-basketball-troll-adidas-damian-lillard-forced-wear-nike-info,2021-08-10
Kyrie Irving Addresses His Criticism of the Rumored Nike Kyrie 8 - Complex,https://www.complex.com/sneakers/kyrie-irving-addresses-nike-kyrie-8-comments,2021-08-03
Skechers’ Wholesale Business Directly Benefiting From Nike’s DTC Shift - Yahoo Finance,https://finance.yahoo.com/news/skechers-wholesale-business-directly-benefiting-144729785.html,2021-07-23
Nikes are getting harder to find at stores. Here's why - CNN,https://www.cnn.com/2021/03/22/business/nike-independent-shoe-stores/index.html,2021-03-22
Nike Refurbished Circularity Model - Nike News,https://news.nike.com/news/nike-refurbished-circularity-model,2021-04-12
"Nike taps the comfort trend with the launch of Go FlyEase, a no-lace slip-on sneaker - CNBC",https://www.cnbc.com/2021/02/01/nike-is-launching-a-slip-on-sneaker-without-any-laces-here.html,2021-02-01
Nike Executive Resigns Over Possible Ties to Sneaker Resale Business - The New York Times,https://www.nytimes.com/2021/03/02/us/ann-hebert-nike.html,2021-03-02
Nike sues the maker of Lil Nas X 'Satan Shoes' for trademark infringement - CNN,https://www.cnn.com/2021/03/29/business/satan-shoes-nike-lil-nas-x/index.html,2021-03-31
Nike brings hands-free entry shoes to the Olympics with the Glide FlyEase - The Verge,https://www.theverge.com/design/2021/7/1/22560002/nike-glide-flyease-olympics-sneakers,2021-07-01
'Satan Shoes' to be recalled as Nike agrees to settle lawsuit - BBC News,https://www.bbc.com/news/business-56684773,2021-04-09
"If you can't beat 'em, join 'em: How Nike cornered the running shoe market - CNN",https://www.cnn.com/2021/05/18/sport/nike-running-shoes-spt-intl-cmd/index.html,2021-05-18
Nike Phantom x Skepta and Nike Tailwind V x Skepta Red Release - Nike News,https://news.nike.com/footwear/nike-phantom-x-skepta-and-nike-tailwind-v-x-skepta-red-release,2021-05-13
"Nike Can’t Keep Doing This to Us, Can It? - Marker - Marker",https://marker.medium.com/nike-cant-keep-doing-this-to-us-can-it-54123f427e25,2021-02-19
